Id,SalePrice
1461,127447.28871579395
1462,155605.2742992792
1463,173593.63871035672
1464,180480.22048580306
1465,191759.12994228018
1466,183035.08469989133
1467,171879.32671172437
1468,175813.1177574571
1469,192609.9611121294
1470,116230.01766130167
1471,205299.24555824156
1472,93050.85731677059
1473,96134.172723443
1474,150973.2252762777
1475,139818.52802799147
1476,350949.58432760485
1477,246994.8289700005
1478,294517.75754759175
1479,247876.6937030517
1480,500873.60553700913
1481,319072.3360175909
1482,204907.60346969648
1483,178923.51632504462
1484,168945.75212465
1485,171075.97167415233
1486,198813.73216591356
1487,320141.2243625062
1488,242175.81778178847
1489,200858.91992508434
1490,190167.73716485716
1491,187771.55469135797
1492,98653.6393938174
1493,180223.0070916481
1494,287208.14632975427
1495,295439.13586018095
1496,221423.75332026818
1497,192939.0207317221
1498,153106.42201373042
1499,152535.66039759296
1500,149194.10685729448
1501,173491.3110672183
1502,157948.42274676583
1503,287479.3624648862
1504,227218.79621149876
1505,216424.54797167893
1506,181082.5801356232
1507,214720.89743969575
1508,198036.42285919492
1509,163724.531469373
1510,149025.2725807417
1511,148369.51259540665
1512,160530.05841257636
1513,161465.16072559266
1514,161282.3852212669
1515,175335.5203420632
1516,155471.1361716932
1517,155939.98187846172
1518,133650.29809844628
1519,226187.07503154426
1520,137044.80433511786
1521,142780.87696621212
1522,162047.38109351884
1523,123874.95058193774
1524,123902.1611572874
1525,125447.10042933794
1526,133814.5238831646
1527,104251.3218492137
1528,132403.22284051919
1529,143089.69828131827
1530,170118.6703651926
1531,124885.7695467312
1532,108766.49458716657
1533,138290.86460827908
1534,119300.95080332627
1535,150347.16733019365
1536,121242.79481783893
1537,73134.2509743618
1538,153990.32349519865
1539,174753.7201657109
1540,110397.06310652739
1541,148344.52792363934
1542,140631.4881768883
1543,219362.6392877987
1544,76636.88910291302
1545,111951.56828770679
1546,120778.79743804848
1547,130867.73581266342
1548,129426.18865724132
1549,112031.98011997294
1550,137263.50856116886
1551,122844.73538271847
1552,133454.96365698884
1553,136982.48899183818
1554,103684.12056416887
1555,167341.00247051258
1556,84751.79574773695
1557,129217.29814362353
1558,84994.23154669185
1559,115302.33427342298
1560,139933.6445440412
1561,137053.9573048071
1562,126803.37126393184
1563,122960.11977381402
1564,158325.03142237786
1565,151023.70694406657
1566,220631.76846979547
1567,78023.46151451052
1568,218368.88910668212
1569,143250.81207292413
1570,126866.89568055468
1571,110449.04770643129
1572,145458.3138969335
1573,249125.00810728493
1574,124737.75559105324
1575,207915.53293542739
1576,208957.72631155307
1577,200102.34278448854
1578,146751.29702384846
1579,139038.2201899445
1580,193183.8583635301
1581,136690.23589323615
1582,127373.60086363176
1583,332918.46387280157
1584,236566.2955379763
1585,140180.9838686701
1586,71190.59407086247
1587,104326.12624784381
1588,149389.41145349588
1589,109118.10265034945
1590,134924.4444754173
1591,102993.7891925683
1592,130428.41484332437
